kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
K110,A734965,40291,STRAY,OTC,2025-08-13 00:00:00,STRAY,RTO,IN KENNEL,2025-08-13 00:00:00,DOG,N,N,MED,BLACK,BOSTON TERRIER,,36279
C201,A735046,40203,STRAY,FIELD,2023-03-24 00:00:00,STRAY,FOSTER,,2023-03-24 00:00:00,CAT,S,N,SMALL,BLACK,DOMESTIC SH,40203,36280
NECROPSY,A762765,40118,STRAY,FIELD,2024-06-20 00:00:00,STRAY,EUTH,REQUESTED,2024-06-24 00:00:00,DOG,M,Y,MED,BLACK / BROWN,GERM SHEPHERD,40218,36281
C211,A762807,40299,FOSTER,RETURN,2024-09-05 00:00:00,STRAY,TRANSFER,KHS,2024-09-05 00:00:00,CAT,M,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,40223,36282
TNR/OUT,A762814,40216,STRAY,OTC,2024-06-17 00:00:00,STRAY,SNR,,2024-06-19 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40216,36283
102,A762829,40272,STRAY,OTC,2024-06-17 00:00:00,STRAY,RTO,IN KENNEL,2024-06-24 00:00:00,DOG,S,N,LARGE,BLACK,PIT BULL,,36284
102,A762833,40272,STRAY,OTC,2024-06-17 00:00:00,STRAY,RTO,IN KENNEL,2024-06-24 00:00:00,DOG,U,N,PUPPY,BLACK,PIT BULL,,36285
202,A763003,40211,CONFISCATE,CRUELTY,2024-06-21 00:00:00,ABANDON,EUTH,MEDICAL,2024-08-10 00:00:00,DOG,N,N,MED,GRAY / WHITE,PIT BULL,40218,36286
LOST,A763016,,LOST,WEB,2024-06-21 00:00:00,,,,,CAT,M,,LARGE,UNKNOWN,DOMESTIC SH,40216,36287
801,A763046,40203,STRAY,OTC,2024-06-21 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-07-03 00:00:00,DOG,S,N,MED,BLACK,ROTTWEILER,,36288
FOSTER,A763051,40206,STRAY,OTC,2024-06-21 00:00:00,STRAY,FOSTER,STRAY,2024-06-26 00:00:00,DOG,S,N,MED,BLACK / TAN,GERM SHEPHERD,40205,36289
C202,A763181,40216,STRAY,FIELD,2024-06-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-07-03 00:00:00,CAT,S,N,KITTN,TAN,DOMESTIC SH,40216,36290
N33,A763293,40291,STRAY,OTC,2024-06-26 00:00:00,STRAY,ADOPTION,WALK IN,2024-07-11 00:00:00,DOG,S,N,PUPPY,WHITE / BROWN,PIT BULL,40291,36291
TNR/OUT,A763295,40215,STRAY,OTC,2024-06-26 00:00:00,STRAY,SNR,,2024-06-28 00:00:00,CAT,S,N,MED,CALICO,DOMESTIC SH,40215,36292
N46,A739900,40258,STRAY,OTC,2023-06-27 00:00:00,STRAY,ADOPTION,PRV ADOPT,2023-08-31 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,40258,36293
N03,A740044,40211,STRAY,FIELD,2023-06-28 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-07-12 00:00:00,DOG,N,N,LARGE,BLACK / BR BRINDLE,GERM SHEPHERD / BELG MALINOIS,40218,36294
TNR/SNR,A740142,40216,STRAY,OTC,2023-06-30 00:00:00,STRAY,SNR,,2023-07-06 00:00:00,CAT,S,N,MED,ORANGE,DOMESTIC SH,40216,36295
LOST,A740376,,LOST,WEB,2023-07-03 00:00:00,,,,,DOG,F,,MED,BLACK,BORDER COLLIE,,36296
601,A740412,40214,OWNER SUR,EUTH REQ,2023-07-04 00:00:00,AGG PEOPLE,EUTH,REQUESTED,2023-07-11 00:00:00,DOG,M,Y,MED,GRAY / WHITE,PIT BULL,40214,36297
ID06,A741141,40213,CONFISCATE,POLICE,2023-07-08 00:00:00,STRAY,RTO,IN KENNEL,2023-07-13 00:00:00,DOG,N,N,MED,BROWN / WHITE,BEAGLE / MIX,40228,36298
N35,A741192,40211,STRAY,FIELD,2023-07-09 00:00:00,STRAY,ADOPTION,WALK IN,2023-08-02 00:00:00,DOG,N,N,MED,WHITE,ALASKAN HUSKY / MIX,40211,36299
302,A741192,40219,STRAY,OTC,2024-11-08 00:00:00,STRAY,RTO,IN KENNEL,2024-11-11 00:00:00,DOG,N,N,MED,WHITE,ALASKAN HUSKY / MIX,40219,36300
FOSTER,A741787,40229,STRAY,OTC,2023-07-15 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-07-17 00:00:00,CAT,U,N,KITTN,BLACK / WHITE,DOMESTIC SH,40218,36301
N48,A749585,40291,RETURN,ADOPTION,2024-01-14 00:00:00,CHASES ANI,ADOPTION,WALK IN,2024-01-14 00:00:00,CAT,S,N,SMALL,BRN TABBY,DOMESTIC MH,40291,36302
