kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
703,A726539,40216,STRAY,OTC,2022-10-31 00:00:00,STRAY,RTO,IN KENNEL,2022-11-03 00:00:00,DOG,N,N,MED,BLACK / WHITE,BOXER / MIX,40208,44028
C404,A726734,40219,STRAY,OTC,2022-11-04 00:00:00,STRAY,RTF,,2022-11-10 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,DOMESTIC SH,40219,44029
LOST,A726821,,LOST,WEB,2022-11-07 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,PIT BULL,,44030
N41,A727445,40272,FOSTER,RETURN,2023-02-17 00:00:00,FOSTER RET,ADOPTION,WALK IN,2023-02-17 00:00:00,CAT,N,N,KITTN,WHITE,DOMESTIC SH,40272,44031
LOST,A775447,,LOST,WEB,2025-01-25 00:00:00,,,,,DOG,F,,MED,UNKNOWN,PIT BULL,,44032
N06,A763008,40208,STRAY,FIELD,2024-06-20 00:00:00,STRAY,ADOPTION,FACEBOOK,2024-07-12 00:00:00,DOG,S,N,MED,GRAY / WHITE,PIT BULL,40215,44033
C216,A745783,40229,STRAY,OTC,2023-09-23 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-09-27 00:00:00,CAT,M,N,KITTN,ORG TABBY,DOMESTIC SH,40229,44034
NF1,A741991,OUT OF COUNTY,FOSTER,RETURN,2023-10-09 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2023-10-11 00:00:00,CAT,S,N,KITTN,GRAY TABBY,DOMESTIC SH,47150,44035
NF2,A742110,40299,FOSTER,RETURN,2023-08-15 00:00:00,FOSTER RET,ADOPTION,THIRDPARTY,2023-08-16 00:00:00,CAT,N,N,KITTN,GRAY,RUSSIAN BLUE,40222,44036
NF2,A742119,40210,FOSTER,RETURN,2023-10-19 00:00:00,FOSTER RET,ADOPTION,INTERNET,2023-10-20 00:00:00,CAT,S,N,KITTN,CHOCOLATE / WHITE,DOMESTIC SH,40217,44037
NF2,A742122,40210,FOSTER,RETURN,2023-10-19 00:00:00,FOSTER RET,ADOPTION,WALK IN,2023-10-23 00:00:00,CAT,S,N,KITTN,BLACK / WHITE,DOMESTIC SH,40217,44038
FOUND,A742207,,FOUND,WEB,2023-07-23 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,YORKSHIRE TERR,,44039
CW04,A742224,40229,STRAY,FIELD,2023-07-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-07-26 00:00:00,CAT,M,N,KITTN,BLACK / WHITE,DOMESTIC MH,40219,44040
TNR/SNR,A742261,40272,STRAY,OTC,2023-07-24 00:00:00,STRAY,TNR,,2023-07-26 00:00:00,CAT,S,N,MED,BLACK,DOMESTIC SH,40272,44041
FOSTER,A742707,40214,STRAY,OTC,2023-07-31 00:00:00,STRAY,FOSTER,VACATION,2023-09-19 00:00:00,DOG,N,N,MED,BR BRINDLE / WHITE,IRISH WOLFHOUND / MIX,40214,44042
ID03,A742794,40212,STRAY,OTC,2023-08-01 00:00:00,ABANDON,TRANSFER,RESCUE GRP,2023-08-22 00:00:00,DOG,N,N,MED,TRICOLOR,AUST SHEPHERD,40212,44043
N43,A742816,40216,OWNER SUR,FIELD,2023-08-02 00:00:00,STRAY,ADOPTION,WALK IN,2023-09-09 00:00:00,CAT,N,N,LARGE,BLACK / WHITE,DOMESTIC SH,40216,44044
C209,A743093,40208,STRAY,FIELD,2023-08-07 00:00:00,STRAY,FOSTER,TOO YOUNG,2023-08-19 00:00:00,CAT,N,N,KITTN,BLK TABBY / BLACK,DOMESTIC SH,40208,44045
LOST,A746767,,LOST,WEB,2023-10-13 00:00:00,,,,,DOG,M,,MED,BLACK,GERM SHEPHERD,,44046
ID08,A746797,40203,STRAY,OTC,2025-07-12 00:00:00,STRAY,TRANSFER,RESCUE GRP,2025-07-19 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,42701,44047
LOST,A746802,,LOST,WEB,2023-10-10 00:00:00,,,,,CAT,M,,SMALL,UNKNOWN,RUSSIAN BLUE,,44048
N13,A746835,40219,STRAY,OTC,2023-10-14 00:00:00,STRAY,ADOPTION,WALK IN,2023-12-02 00:00:00,DOG,S,N,MED,BR BRINDLE,PATTERDALE TERR / MIX,40219,44049
TNR/SNR,A747074,40291,STRAY,OTC,2023-10-18 00:00:00,STRAY,SNR,,2023-10-20 00:00:00,CAT,S,N,LARGE,CALICO,DOMESTIC SH,40291,44050
LOST,A747365,,LOST,WEB,2023-10-22 00:00:00,,,,,DOG,F,,TOY,UNKNOWN,CHIHUAHUA SH,40218,44051
TNR/SNR,A747736,40207,STRAY,OTC,2023-10-24 00:00:00,STRAY,SNR,,2023-10-26 00:00:00,CAT,N,N,LARGE,BLACK,DOMESTIC SH,40205,44052
FOSTER,A747763,40211,STRAY,FIELD,2023-10-24 00:00:00,STRAY,FOSTER,VACATION,2023-11-13 00:00:00,DOG,S,N,MED,TAN,PIT BULL,40211,44053
DW17,A747852,40213,STRAY,OTC,2023-10-26 00:00:00,STRAY,ADOPTION,WALK IN,2023-11-07 00:00:00,DOG,S,N,LARGE,BR BRINDLE,GERM SHEPHERD / MIX,40219,44054
N37,A751225,OUT OF COUNTY,FOSTER,RETURN,2024-03-18 00:00:00,FOSTER RET,ADOPTION,INTERNET,2024-03-20 00:00:00,CAT,N,N,KITTN,BRN TABBY,DOMESTIC SH,47150,44055
INTAKE,A734477,40291,STRAY,OTC,2023-07-17 00:00:00,STRAY,TNR,CARETAKER,2023-07-19 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40291,44056
INTAKE,A734479,40291,STRAY,OTC,2023-07-17 00:00:00,STRAY,TNR,CARETAKER,2023-07-19 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40291,44057
INTAKE,A734551,40216,STRAY,OTC,2023-08-02 00:00:00,STRAY,TNR,CARETAKER,2023-08-04 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40216,44058
INTAKE,A734612,40217,STRAY,OTC,2023-08-23 00:00:00,STRAY,TNR,CARETAKER,2023-08-25 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40217,44059
INTAKE,A734614,40229,STRAY,OTC,2023-08-29 00:00:00,STRAY,TNR,CARETAKER,2023-08-31 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40229,44060
LOST,A734788,,LOST,WEB,2023-03-17 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC MH,,44061
LOST,A734800,,LOST,WEB,2023-03-19 00:00:00,,,,,DOG,M,,MED,BROWN,SHIBA INU,,44062
NP,A734856,40205,RETURN,ADOPTION,2023-04-04 00:00:00,RESPONSIBL,ADOPTION,WALK IN,2023-04-12 00:00:00,DOG,S,N,LARGE,BLACK,LABRADOR RETR,40213,44063
NP,A734856,40205,STRAY,OTC,2023-03-20 00:00:00,STRAY,ADOPTION,WALK IN,2023-04-04 00:00:00,DOG,S,N,LARGE,BLACK,LABRADOR RETR,40031,44064
K110B,A735139,40272,STRAY,OTC,2023-03-26 00:00:00,STRAY,RTO,IN KENNEL,2023-03-28 00:00:00,DOG,N,N,MED,BLUE TICK,AUST CATTLE DOG,40258,44065
LOST,A735142,,LOST,WEB,2023-03-26 00:00:00,,,,,DOG,F,,MED,WHITE,BICHON FRISE,,44066
C310,A753423,40229,STRAY,OTC,2024-01-31 00:00:00,STRAY,SNR,,2024-02-17 00:00:00,CAT,S,N,LARGE,GRAY,DOMESTIC LH,40229,44067
FOSTER,A775233,40229,STRAY,OTC,2025-01-24 00:00:00,STRAY,RTO,IN KENNEL,2025-01-27 00:00:00,DOG,F,N,PUPPY,YELLOW,POODLE MIN,40229,44068
507,A775607,40218,FOSTER,RETURN,2025-01-29 00:00:00,STRAY,DIED,IN FOSTER,2025-01-29 00:00:00,DOG,M,N,PUPPY,BLUE / WHITE,PIT BULL,40291,44069
507,A775609,40218,FOSTER,RETURN,2025-01-29 00:00:00,STRAY,DIED,IN FOSTER,2025-01-29 00:00:00,DOG,F,N,PUPPY,BLUE / WHITE,PIT BULL,40291,44070
K101,A775652,40212,STRAY,OTC,2025-01-29 00:00:00,STRAY,ADOPTION,WALK IN,2025-02-11 00:00:00,DOG,S,N,SMALL,TAN / BLACK,BLACK MOUTH CUR / MIX,40212,44071
N41,A762856,40202,STRAY,OTC,2024-06-17 00:00:00,ABANDON,ADOPTION,WALK IN,2024-07-13 00:00:00,CAT,S,N,MED,BRN TABBY / WHITE,DOMESTIC SH,40202,44072
N20,A762965,40214,STRAY,FIELD,2024-06-19 00:00:00,STRAY,FOSTER,TO ADOPT,2024-07-06 00:00:00,DOG,S,N,LARGE,GRAY,PIT BULL,40214,44073
FOSTER,A762965,40218,FOSTER,RETURN,2024-07-20 00:00:00,FOSTER RET,FOSTER,TO ADOPT,2024-07-20 00:00:00,DOG,S,N,LARGE,GRAY,PIT BULL,40203,44074
INTAKE,A763031,40299,FOSTER,RETURN,2025-04-13 00:00:00,FOSTER RET,ADOPTION,WALK IN,2025-04-13 00:00:00,DOG,S,N,PUPPY,BLACK,PIT BULL,40299,44075
FEEDERS PH,A763034,40216,FOSTER,RETURN,2024-08-14 00:00:00,STRAY,ADOPTION,FEEDERS PH,2024-08-18 00:00:00,CAT,N,N,KITTN,BLACK,DOMESTIC SH,40299,44076
N19,A763117,40213,STRAY,OTC,2024-06-22 00:00:00,STRAY,ADOPTION,WALK IN,2024-07-03 00:00:00,DOG,S,N,LARGE,BROWN / WHITE,BASSET HOUND / MIX,40229,44077
604,A763204,40216,FOSTER,RETURN,2024-07-27 00:00:00,DESTRUC IN,TRANSFER,RESCUE GRP,2024-08-16 00:00:00,DOG,N,N,LARGE,SABLE / BLACK,GERM SHEPHERD,40216,44078
FOUND,A763388,,FOUND,WEB,2024-06-27 00:00:00,,,,,DOG,F,,MED,UNKNOWN,AUST CATTLE DOG,,44079
FOSTER,A763405,40218,FOSTER,RETURN,2024-10-18 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2024-10-18 00:00:00,DOG,S,N,MED,WHITE / TAN,LABRADOR RETR / ALASKAN HUSKY,47150,44080
K108B,A768829,40229,STRAY,OTC,2024-09-23 00:00:00,STRAY,ADOPTION,WALK IN,2024-09-30 00:00:00,DOG,N,N,SMALL,CREAM,CAIRN TERRIER,40229,44081
LOST,A768976,,LOST,WEB,2024-09-24 00:00:00,,,,,DOG,M,,MED,UNKNOWN,PIT BULL,,44082
LOST,A769033,,LOST,WEB,2024-08-30 00:00:00,,,,,CAT,M,,MED,UNKNOWN,SPHYNX,,44083
FEEDERS VS,A769067,40210,STRAY,OTC,2024-09-26 00:00:00,STRAY,ADOPTION,FEEDERS VS,2024-11-08 00:00:00,DOG,N,N,MED,BLACK / BROWN,PIT BULL / LABRADOR RETR,40210,44084
FOSTER,A765829,40214,FOSTER,RETURN,2024-08-20 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2024-08-20 00:00:00,DOG,N,N,SMALL,BR BRINDLE,BEAGLE / MIX,40218,44085
DW16,A765893,40217,FOSTER,RETURN,2024-09-25 00:00:00,FOSTER RET,ADOPTION,FOSTER,2024-09-25 00:00:00,DOG,S,N,MED,BR BRINDLE / WHITE,PIT BULL / MIX,40217,44086
FOSTER,A765946,40218,FOSTER,RETURN,2024-09-15 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-09-15 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,ROTTWEILER,40218,44087
FOSTER,A765946,40211,STRAY,OTC,2024-08-05 00:00:00,ABANDON,FOSTER,STRAY,2024-08-05 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,ROTTWEILER,40218,44088
K110B,A766060,40216,FOSTER,RETURN,2024-09-07 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-10-17 00:00:00,DOG,S,N,MED,WHITE / BLACK,DALMATIAN / BEAGLE,40229,44089
LOST,A766092,,LOST,WEB,2024-08-07 00:00:00,,,,,DOG,M,,SMALL,UNKNOWN,PARSON RUSS TER,,44090
612,A766601,40216,STRAY,FIELD,2024-08-14 00:00:00,STRAY,FOSTER,TO ADOPT,2024-08-22 00:00:00,DOG,S,Y,MED,TRICOLOR / GRAY,STAFFORDSHIRE / PIT BULL,40216,44091
FOSTER,A766631,40215,STRAY,FIELD,2024-08-14 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-08-20 00:00:00,DOG,N,N,TOY,WHITE,CHIHUAHUA LH / MIX,40229,44092
303,A766856,40214,STRAY,FIELD,2024-08-19 00:00:00,STRAY,RTO,IN KENNEL,2024-08-21 00:00:00,DOG,F,N,MED,BLACK / WHITE,BORDER COLLIE,40214,44093
LOST,A773404,,LOST,WEB,2024-12-09 00:00:00,,,,,DOG,M,,,BROWN,PIT BULL,,44094
C104,A773589,40203,STRAY,FIELD,2024-12-17 00:00:00,STRAY,TRANSFER,KHS,2025-01-09 00:00:00,CAT,F,N,SMALL,GRAY TABBY,DOMESTIC SH,40202,44095
VET,A773604,40218,STRAY,FIELD,2024-12-17 00:00:00,STRAY,EUTH,INHUMANE,2024-12-17 00:00:00,CAT,M,N,MED,BLACK,DOMESTIC SH,40218,44096
FOLLOWUP,A756763,OUT OF COUNTY,FOSTER,RETURN,2024-06-16 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-06-16 00:00:00,DOG,N,N,LARGE,TAN / WHITE,PIT BULL,40165,44097
NECROPSY,A756825,40211,STRAY,FIELD,2024-03-23 00:00:00,DOA,DISPOSAL,NECROPSY,2024-03-25 00:00:00,DOG,F,N,SMALL,BLACK / BROWN,LABRADOR RETR,40218,44098
ACO UNIT,A756903,40214,OWNER SUR,FIELD,2024-03-25 00:00:00,RESPONSIBL,TRANSFER,RESCUE GRP,2024-03-25 00:00:00,CAT,F,N,MED,CALICO / WHITE,DOMESTIC SH,40214,44099
FOSTER,A756934,40204,FOSTER,RETURN,2024-05-28 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-05-28 00:00:00,DOG,S,N,MED,GRAY,PIT BULL,40204,44100
FOSTER,A756940,40118,STRAY,FIELD,2024-03-25 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-04-02 00:00:00,CAT,N,N,KITTN,WHITE / GRAY,DOMESTIC SH,40118,44101
NECROPSY,A757185,40211,OWNER SUR,FIELD,2024-03-27 00:00:00,EUTH BEHAV,EUTH,REQUESTED,2024-03-27 00:00:00,DOG,M,Y,LARGE,GRAY / WHITE,PIT BULL,40211,44102
FREEZER,A757862,40218,FOSTER,RETURN,2024-04-14 00:00:00,PETMEDICAL,,,,CAT,M,N,KITTN,BRN TABBY,DOMESTIC SH,40222,44103
K102,A757929,40219,STRAY,OTC,2024-08-29 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-09-14 00:00:00,DOG,N,N,SMALL,BLACK / TAN,YORKSHIRE TERR,40229,44104
ACO UNIT,A757992,40216,STRAY,FIELD,2024-04-08 00:00:00,STRAY,RTF,,2024-04-23 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC MH,40216,44105
VET,A763630,40258,STRAY,OTC,2024-07-01 00:00:00,STRAY,RTF,,2024-07-20 00:00:00,CAT,N,Y,MED,GRAY,DOMESTIC SH,40258,44106
TNR/OUT,A763831,40208,STRAY,OTC,2024-07-03 00:00:00,STRAY,RTF,,2024-07-09 00:00:00,CAT,U,N,MED,BLACK / WHITE,DOMESTIC SH,40208,44107
705,A763869,40223,FOSTER,RETURN,2024-08-01 00:00:00,FOSTER RET,TRANSFER,RESCUE GRP,2024-08-03 00:00:00,DOG,N,N,MED,BLACK / TAN,GERM SHEPHERD,47172,44108
FOUND,A763912,,FOUND,WEB,2024-07-04 00:00:00,,,,,DOG,,,MED,WHITE,PIT BULL,,44109
FEEDERS HL,A763974,40228,FOSTER,RETURN,2024-08-14 00:00:00,STRAY,ADOPTION,FEEDERS HL,2024-08-20 00:00:00,CAT,S,N,KITTN,BRN TABBY,DOMESTIC SH,40291,44110
LOST,A726166,,LOST,WEB,2022-10-25 00:00:00,,,,,DOG,M,,,UNKNOWN,PIT BULL,40212,44111
607,A726276,40218,FOSTER,RETURN,2023-01-11 00:00:00,FOSTER RET,EUTH,BEHAV OBSV,2023-02-20 00:00:00,DOG,N,Y,MED,BLACK,JINDO / CHOW CHOW,40214,44112
FOUND,A726288,,FOUND,WEB,2022-10-24 00:00:00,,,,,CAT,M,,,UNKNOWN,DOMESTIC SH,,44113
204,A746552,40222,FOSTER,RETURN,2024-07-15 00:00:00,FOSTER RET,ADOPTION,FACEBOOK,2024-07-15 00:00:00,DOG,N,N,LARGE,BROWN,BOXER / PIT BULL,40222,44114
TNR/SNR,A746649,40213,STRAY,OTC,2023-10-10 00:00:00,STRAY,SNR,,2023-10-12 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40216,44115
K109B,A746698,40203,FOSTER,RETURN,2023-10-24 00:00:00,FOSTER RET,EUTH,BEHAV OBSV,2023-11-01 00:00:00,DOG,M,N,MED,BLACK / TAN,GERM SHEPHERD / BORDER COLLIE,40205,44116
N16,A746846,40204,STRAY,FIELD,2023-10-15 00:00:00,STRAY,ADOPTION,INTERNET,2023-11-28 00:00:00,DOG,S,N,LARGE,BLACK / TAN,GERM SHEPHERD,40204,44117
C213,A747123,40216,STRAY,OTC,2023-10-20 00:00:00,STRAY,EUTH,INHUMANE,2023-10-24 00:00:00,CAT,F,N,MED,BLACK / WHITE,DOMESTIC MH,40216,44118
FOSTER,A747130,40216,FOSTER,RETURN,2023-10-22 00:00:00,FOSTER RET,DIED,IN FOSTER,2023-10-22 00:00:00,CAT,M,N,KITTN,BLACK,DOMESTIC MH,40228,44119
FOSTER,A747130,40216,STRAY,OTC,2023-10-20 00:00:00,STRAY,FOSTER,VACATION,2023-10-22 00:00:00,CAT,M,N,KITTN,BLACK,DOMESTIC MH,40216,44120
LOST,A747158,,LOST,WEB,2023-10-20 00:00:00,,,,,DOG,F,,SMALL,BROWN,BRUSS GRIFFON,,44121
LOST,A747168,,LOST,WEB,2023-10-18 00:00:00,,,,,CAT,F,,MED,UNKNOWN,AMER SH,,44122
TNR/SNR,A747361,40216,STRAY,OTC,2023-10-23 00:00:00,STRAY,TNR,,2023-10-25 00:00:00,CAT,M,N,LARGE,ORANGE / WHITE,DOMESTIC SH,40216,44123
ACO UNIT,A747414,40212,STRAY,FIELD,2023-10-23 00:00:00,STRAY,EUTH,INHUMANE,2023-10-23 00:00:00,CAT,M,N,SMALL,BRN TABBY / WHITE,DOMESTIC SH,40212,44124
NP,A749881,OUT OF COUNTY,FOSTER,RETURN,2024-02-02 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-02-03 00:00:00,DOG,N,N,SMALL,WHITE / BLACK,JACK RUSS TER,47150,44125
DW06,A749881,OUT OF COUNTY,FOSTER,RETURN,2024-01-02 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2024-01-02 00:00:00,DOG,N,N,SMALL,WHITE / BLACK,JACK RUSS TER,47150,44126
TNR/SNR,A757996,40216,STRAY,OTC,2024-04-08 00:00:00,STRAY,RTO,,2024-04-10 00:00:00,CAT,S,N,SMALL,GRAY / WHITE,DOMESTIC SH,40216,44127
LOST,A758074,,LOST,WEB,2024-04-08 00:00:00,,,,,DOG,M,,SMALL,WHITE,JACK RUSS TERR,40213,44128
K102B,A758089,40202,CONFISCATE,HOSPITAL,2024-04-10 00:00:00,OWNER MED,RTO,IN KENNEL,2024-04-11 00:00:00,DOG,S,N,SMALL,TAN,DACHSHUND,40215,44129
FOUND,A758153,,FOUND,WEB,2024-04-07 00:00:00,,,,,CAT,F,,,UNKNOWN,SINGAPURA,,44130
N42,A763986,40218,FOSTER,RETURN,2024-07-31 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-08-03 00:00:00,CAT,S,N,KITTN,GRAY,DOMESTIC SH,40205,44131
K108,A764013,40299,STRAY,OTC,2024-07-06 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-07-20 00:00:00,DOG,N,N,MED,BROWN,BEAGLE,40299,44132
FREEZER,A764139,40218,DISPOSAL,,2024-07-08 00:00:00,DOA,,,,CAT,U,N,SMALL,BLACK / WHITE,DOMESTIC SH,40220,44133
FEEDERS HL,A764151,40216,FOSTER,RETURN,2024-09-19 00:00:00,STRAY,ADOPTION,FEEDERS HL,2024-09-22 00:00:00,CAT,N,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40291,44134
LOST,A764225,,LOST,WEB,2024-06-14 00:00:00,,,,,CAT,M,,,UNKNOWN,AMER SH,,44135
K101,A764425,40216,STRAY,FIELD,2024-07-12 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-07-25 00:00:00,DOG,N,N,SMALL,TAN,YORKSHIRE TERR / MIX,40228,44136
N25,A764425,40216,FOSTER,RETURN,2024-08-22 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-08-23 00:00:00,DOG,N,N,SMALL,TAN,YORKSHIRE TERR / MIX,40217,44137
FOUND,A764537,,FOUND,WEB,2024-07-08 00:00:00,,,,,DOG,F,,MED,WHITE,PIT BULL,,44138
C201,A764566,40218,STRAY,OTC,2024-07-15 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-07-15 00:00:00,CAT,M,N,KITTN,ORG TABBY,DOMESTIC SH,40218,44139
FOLLOWUP,A726420,40207,STRAY,OTC,2022-10-29 00:00:00,STRAY,SNR,,2022-11-02 00:00:00,CAT,N,N,KITTN,BRN TABBY / BLACK,DOMESTIC SH,37214,44140
LOST,A726434,,LOST,WEB,2022-10-29 00:00:00,,,,,CAT,F,,,UNKNOWN,DOMESTIC SH,,44141
FOSTER,A726451,40215,STRAY,OTC,2022-10-30 00:00:00,STRAY,FOSTER,,2022-11-11 00:00:00,DOG,N,N,MED,BLACK / WHITE,AUST CATTLE DOG / MIX,40215,44142
DW07,A726589,40219,STRAY,OTC,2022-11-01 00:00:00,STRAY,RTO,IN KENNEL,2022-11-04 00:00:00,DOG,N,N,SMALL,TAN / WHITE,MALTESE,40219,44143
NP,A726726,40299,STRAY,OTC,2022-11-04 00:00:00,STRAY,ADOPTION,INTERNET,2022-11-26 00:00:00,DOG,N,N,PUPPY,BLACK / BROWN,LABRADOR RETR / GERM SHEPHERD,40299,44144
LOST,A726838,,LOST,WEB,2022-11-07 00:00:00,,,,,DOG,M,,,WHITE,CAVALIER SPAN,40241,44145
BARN,A727268,40214,STRAY,OTC,2022-11-10 00:00:00,STRAY,FOSTER,,2022-11-15 00:00:00,RABBIT,F,N,MED,TRICOLOR / MUTED,REX-MINI,40214,44146
TNR/SNR,A727301,40217,STRAY,OTC,2022-11-11 00:00:00,STRAY,SNR,,2022-11-16 00:00:00,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC LH,40242,44147
C112,A727406,40218,STRAY,OTC,2022-11-14 00:00:00,STRAY,EUTH,INHUMANE,2022-11-15 00:00:00,CAT,M,N,MED,BLACK / WHITE,DOMESTIC MH,40218,44148
TNR/SNR,A727464,40213,STRAY,OTC,2022-11-15 00:00:00,STRAY,SNR,,2022-11-17 00:00:00,CAT,S,N,SMALL,BRN TABBY / WHITE,DOMESTIC LH,40213,44149
B4,A775027,40215,STRAY,FIELD,2025-01-18 00:00:00,STRAY,ADOPTION,WALK IN,2025-01-28 00:00:00,BIRD,F,N,SMALL,BLACK,CHICKEN,40218,44150
507,A775607,40218,STRAY,OTC,2025-01-27 00:00:00,STRAY,FOSTER,TIME/SPACE,2025-01-28 00:00:00,DOG,M,N,PUPPY,BLUE / WHITE,PIT BULL,40218,44151
507,A775609,40218,STRAY,OTC,2025-01-27 00:00:00,STRAY,FOSTER,TOO YOUNG,2025-01-28 00:00:00,DOG,F,N,PUPPY,BLUE / WHITE,PIT BULL,40218,44152
102,A762841,40272,STRAY,OTC,2024-06-17 00:00:00,STRAY,RTO,IN KENNEL,2024-06-24 00:00:00,DOG,U,N,PUPPY,BLACK,PIT BULL,,44153
NECROPSY,A762971,40213,CONFISCATE,CRUELTY,2024-06-19 00:00:00,CRUELTY,DISPOSAL,NECROPSY,2024-06-20 00:00:00,DOG,F,N,LARGE,WHITE / BLACK,PIT BULL,40228,44154
C110,A762973,40212,STRAY,FIELD,2024-06-19 00:00:00,STRAY,TRANSFER,RESCUE GRP,2024-06-26 00:00:00,CAT,M,N,MED,BLACK,DOMESTIC LH,40212,44155
N17,A763002,40211,CONFISCATE,CRUELTY,2024-06-21 00:00:00,ABANDON,FOSTER,TO ADOPT,2024-07-10 00:00:00,DOG,S,N,LARGE,BL BRINDLE,MASTIFF,40218,44156
409,A763134,40215,STRAY,FIELD,2024-06-23 00:00:00,STRAY,EUTH,BEHAV OBSV,2024-07-01 00:00:00,DOG,M,N,MED,TAN / WHITE,PIT BULL,40215,44157
C202,A763179,40216,STRAY,FIELD,2024-06-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-07-03 00:00:00,CAT,S,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40216,44158
C202,A763180,40216,STRAY,FIELD,2024-06-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-07-03 00:00:00,CAT,N,N,KITTN,ORANGE,DOMESTIC SH,40216,44159
C202,A763182,40216,STRAY,FIELD,2024-06-24 00:00:00,STRAY,FOSTER,TOO YOUNG,2024-07-03 00:00:00,CAT,N,N,KITTN,TAN / WHITE,DOMESTIC SH,40216,44160
C303,A763370,40216,STRAY,OTC,2024-06-27 00:00:00,STRAY,SNR,,2024-08-06 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40216,44161
NECROPSY,A763379,40272,FOSTER,RETURN,2024-07-09 00:00:00,DOA,DIED,IN FOSTER,2024-07-09 00:00:00,CAT,F,N,KITTN,GRAY,DOMESTIC SH,40272,44162
LOST,A763392,,LOST,WEB,2024-05-03 00:00:00,,,,,DOG,M,,MED,WHITE,ENG BULLDOG,,44163
201,A763405,40212,RETURN,K HUMANE S,2024-09-19 00:00:00,STRAY,FOSTER,TIME/SPACE,2024-09-19 00:00:00,DOG,S,N,MED,WHITE / TAN,LABRADOR RETR / ALASKAN HUSKY,40214,44164
107,A763438,40216,STRAY,OTC,2024-06-29 00:00:00,STRAY,RTO,IN KENNEL,2024-06-29 00:00:00,DOG,F,N,LARGE,BROWN / TAN,AMERICAN STAFF / PIT BULL,40071,44165
FEEDERS VS,A768561,40211,STRAY,OTC,2024-09-20 00:00:00,STRAY,ADOPTION,FEEDERS VS,2024-09-26 00:00:00,CAT,N,N,KITTN,ORANGE / WHITE,DOMESTIC SH / MIX,40211,44166
LOST,A768666,,LOST,WEB,2024-09-21 00:00:00,,,,,CAT,M,,LARGE,BLACK,DOMESTIC SH,,44167
LOST,A768815,,LOST,WEB,2024-09-21 00:00:00,,,,,DOG,M,,MED,UNKNOWN,PIT BULL,,44168
N38,A768823,40213,FOSTER,RETURN,2024-10-10 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-10-12 00:00:00,CAT,N,N,KITTN,BLUE,DOMESTIC SH,40220,44169
N38,A768825,40213,FOSTER,RETURN,2024-10-10 00:00:00,FOSTER RET,ADOPTION,WALK IN,2024-10-12 00:00:00,CAT,N,N,KITTN,BLUE,DOMESTIC SH,40220,44170
N02,A769029,40211,STRAY,FIELD,2024-09-26 00:00:00,STRAY,ADOPTION,WALK IN,2024-10-19 00:00:00,DOG,S,N,MED,GRAY / WHITE,PIT BULL / MIX,40211,44171
FOUND,A750474,,FOUND,WEB,2023-12-23 00:00:00,,,,,DOG,F,,MED,BLACK,GERM SHEPHERD,,44172
